comparison,metric,baseline_name,baseline_value,optimized_name,optimized_value,absolute_delta,percent_change,interpretation
baseline_snn_vs_hardware_aware_snn,accuracy,baseline_paper1,0.957,exp1_hardware_aware_loss,0.957,0.0,0.0,degradation: exp1_hardware_aware_loss vs baseline_paper1 changes accuracy by 0.00% (0.000000 absolute).
baseline_snn_vs_hardware_aware_snn,energy_proxy,baseline_paper1,22604295.758720063,exp1_hardware_aware_loss,4592863.1728,-18011432.585920062,-79.68145868455906,improvement: exp1_hardware_aware_loss vs baseline_paper1 changes energy_proxy by -79.68% (-18011432.585920 absolute).
dense_vs_event_scheduling:baseline_paper1,latency_ns,dense,5760.0,event,5760.0,0.0,0.0,degradation: event vs dense changes latency_ns by 0.00% (0.000000 absolute).
dense_vs_event_scheduling:baseline_paper1,cycle_count,dense,576.0,event,576.0,0.0,0.0,degradation: event vs dense changes cycle_count by 0.00% (0.000000 absolute).
dense_vs_event_scheduling:exp5_dataflow_adaptation,latency_ns,dense,5760.0,event,5760.0,0.0,0.0,degradation: event vs dense changes latency_ns by 0.00% (0.000000 absolute).
dense_vs_event_scheduling:exp5_dataflow_adaptation,cycle_count,dense,576.0,event,576.0,0.0,0.0,degradation: event vs dense changes cycle_count by 0.00% (0.000000 absolute).
baseline_vs_optimized_hardware_dense,latency_ns,baseline_paper1,5760.0,exp5_dataflow_adaptation,5760.0,0.0,0.0,degradation: exp5_dataflow_adaptation vs baseline_paper1 changes latency_ns by 0.00% (0.000000 absolute).
baseline_vs_optimized_hardware_dense,lut_usage,baseline_paper1,22193.0,exp5_dataflow_adaptation,22193.0,0.0,0.0,degradation: exp5_dataflow_adaptation vs baseline_paper1 changes lut_usage by 0.00% (0.000000 absolute).
static_vs_adaptive_execution,accuracy,exp1_hardware_aware_loss,0.957,exp5_dataflow_adaptation,0.957,0.0,0.0,degradation: exp5_dataflow_adaptation vs exp1_hardware_aware_loss changes accuracy by 0.00% (0.000000 absolute).
static_vs_adaptive_execution,latency_proxy,exp1_hardware_aware_loss,0.6166690562633859,exp5_dataflow_adaptation,1.2333381125267717,0.6166690562633859,100.0,degradation: exp5_dataflow_adaptation vs exp1_hardware_aware_loss changes latency_proxy by 100.00% (0.616669 absolute).
static_vs_adaptive_execution,energy_proxy,exp1_hardware_aware_loss,4592863.1728,exp5_dataflow_adaptation,45016894.72704013,40424031.55424013,880.1488316403722,degradation: exp5_dataflow_adaptation vs exp1_hardware_aware_loss changes energy_proxy by 880.15% (40424031.554240 absolute).
estimator_vs_measured_hardware,latency_ns,estimator_scaled:baseline_paper1:dense,3840.0,measured:baseline_paper1:dense,5760.0,1920.0,50.0,degradation: measured:baseline_paper1:dense vs estimator_scaled:baseline_paper1:dense changes latency_ns by 50.00% (1920.000000 absolute).
estimator_vs_measured_hardware,latency_ns,estimator_scaled:baseline_paper1:event,3840.0,measured:baseline_paper1:event,5760.0,1920.0,50.0,degradation: measured:baseline_paper1:event vs estimator_scaled:baseline_paper1:event changes latency_ns by 50.00% (1920.000000 absolute).
estimator_vs_measured_hardware,latency_ns,estimator_scaled:exp5_dataflow_adaptation:dense,7680.0,measured:exp5_dataflow_adaptation:dense,5760.0,-1920.0,-25.0,improvement: measured:exp5_dataflow_adaptation:dense vs estimator_scaled:exp5_dataflow_adaptation:dense changes latency_ns by -25.00% (-1920.000000 absolute).
estimator_vs_measured_hardware,latency_ns,estimator_scaled:exp5_dataflow_adaptation:event,7680.0,measured:exp5_dataflow_adaptation:event,5760.0,-1920.0,-25.0,improvement: measured:exp5_dataflow_adaptation:event vs estimator_scaled:exp5_dataflow_adaptation:event changes latency_ns by -25.00% (-1920.000000 absolute).
estimator_vs_measured_hardware,mean_absolute_percent_error_latency,estimator_scaled,0.0,measured_latency,33.33333333333333,33.33333333333333,33.33333333333333,Estimator/hardware latency agreement: MAPE=33.33% across 4 hardware runs.
